Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26328,1,1,0,0,0,0,0
B26329,0,1,0,0,0,0,0
B26330,1,1,0,0,0,0,0
B26331,1,1,0,0,0,0,0
B26332,1,1,0,0,0,0,0
B26333,0,0,0,0,0,0,0
B26334,1,1,0,0,0,0,0
B26335,1,1,0,0,0,0,0
B26336,1,1,0,0,0,0,0
B26337,1,1,0,0,0,0,0
B26338,1,1,0,0,0,0,0
B26339,1,1,0,0,0,0,0
B26340,1,1,0,0,0,0,0
B26341,1,1,0,0,0,0,0
B26342,0,1,0,0,0,0,0
B26343,1,1,0,0,0,0,0
B26344,1,1,0,0,0,0,0
B26345,1,1,0,0,0,0,0
B26346,1,1,0,0,0,0,0
B26347,0,0,0,0,0,0,0
B26348,1,1,0,0,0,0,0
B26349,0,0,0,0,0,0,0
B26350,1,1,0,0,0,0,0
B26351,1,1,0,0,0,0,0
B26352,1,1,0,0,0,0,0
B26353,1,1,0,0,0,0,0
B26354,1,1,0,0,0,0,0
B26355,1,1,0,0,0,0,0
B26356,1,1,0,0,0,0,0
B26357,1,1,0,0,0,0,0
B26358,1,1,0,0,0,0,0
B26359,1,1,0,0,0,0,0
B26360,1,1,0,0,0,0,0
B26361,1,1,0,0,0,0,0
B26362,1,1,0,0,0,0,0
B26363,1,1,0,0,0,0,0
B26364,1,1,0,0,0,0,0
B26365,1,1,0,0,0,0,0
B26366,1,1,0,0,0,0,0
B26367,1,1,0,0,0,0,0
B26368,1,1,0,0,0,0,0
B26369,1,1,0,0,0,0,0
B26370,1,1,0,0,0,0,0
B26371,1,1,0,0,0,0,0
B26372,1,1,0,0,0,0,0
B26373,1,1,0,0,0,0,0
B26374,1,1,0,0,0,0,0
B26375,1,1,0,0,0,0,0
B26376,1,1,0,0,0,0,0
B26377,1,1,0,0,0,0,0
B26378,1,1,0,0,0,0,0
B26379,0,0,0,0,0,0,0
B26380,0,0,0,0,0,0,0
B26381,0,0,0,0,0,0,0
B26382,Proxy,1,0,0,0,0,0
B26383,1,1,0,0,0,0,0
B26384,1,1,0,0,0,0,0
B26385,1,1,0,0,0,0,0
B26386,1,1,0,0,0,0,0
B26387,0,1,0,0,0,0,0
B26388,1,1,0,0,0,0,0
B26389,0,0,0,0,0,0,0
B26390,0,0,0,0,0,0,0
B26391,1,1,0,0,0,0,0
B26392,1,1,0,0,0,0,0
B26393,1,1,0,0,0,0,0
B26394,1,1,0,0,0,0,0
B26395,1,1,0,0,0,0,0
B26396,1,1,0,0,0,0,0
B26397,1,1,0,0,0,0,0
B26398,1,1,0,0,0,0,0
B26399,1,1,0,0,0,0,0
B26400,1,1,0,0,0,0,0
B26401,0,0,0,0,0,0,0
B26402,1,1,0,0,0,0,0
B26403,1,1,0,0,0,0,0
B26404,1,1,0,0,0,0,0
B26405,1,1,0,0,0,0,0
B26406,1,1,0,0,0,0,0
B26407,1,1,0,0,0,0,0
B26408,0,0,0,0,0,0,0
B26409,1,1,0,0,0,0,0
B26410,1,1,0,0,0,0,0
B26411,1,1,0,0,0,0,0
B26412,0,0,0,0,0,0,0
B26413,1,0,0,0,0,0,0
B26414,1,1,0,0,0,0,0
B26415,1,1,0,0,0,0,0
B26416,1,1,0,0,0,0,0
B26417,1,1,0,0,0,0,0
B26418,1,1,0,0,0,0,0
B26419,1,1,0,0,0,0,0
B26420,1,1,0,0,0,0,0
B26421,1,1,0,0,0,0,0
B26422,1,1,0,0,0,0,0
B26423,1,1,0,0,0,0,0
B26424,1,1,0,0,0,0,0
B26425,1,1,0,0,0,0,0
B26426,1,1,0,0,0,0,0
B26427,1,1,0,0,0,0,0
B26428,1,1,0,0,0,0,0
B26429,1,1,0,0,0,0,0
B26430,1,1,0,0,0,0,0
B26431,1,1,0,0,0,0,0
B26432,1,1,0,0,0,0,0
B26433,1,1,0,0,0,0,0
B26434,1,1,0,0,0,0,0
B26435,1,1,0,0,0,0,0
B26436,1,1,0,0,0,0,0
B26437,1,1,0,0,0,0,0
B26438,1,1,0,0,0,0,0
B26439,1,1,0,0,0,0,0
B26440,1,1,0,0,0,0,0
B26441,1,1,0,0,0,0,0
B26442,1,1,0,0,0,0,0
B26443,1,1,0,0,0,0,0
B26444,1,1,0,0,0,0,0
B26445,0,0,0,0,0,0,0
B26446,1,1,0,0,0,0,0
B26447,1,1,0,0,0,0,0
B26448,0,0,0,0,0,0,0
B26449,1,1,0,0,0,0,0
B26450,1,1,0,0,0,0,0
B26451,1,1,0,0,0,0,0
B26452,1,1,0,0,0,0,0
B26453,1,1,0,0,0,0,0
B26454,1,1,0,0,0,0,0
B26455,1,1,0,0,0,0,0
B26456,1,1,0,0,0,0,0
B26457,1,1,0,0,0,0,0
B26458,1,1,0,0,0,0,0
B26459,1,1,0,0,0,0,0
B26460,1,1,0,0,0,0,0
B26461,1,1,0,0,0,0,0
B26462,1,1,0,0,0,0,0
B26463,1,1,0,0,0,0,0
B26464,0,0,0,0,0,0,0
B26465,1,1,0,0,0,0,0
B26466,0,1,0,0,0,0,0
B26467,1,1,0,0,0,0,0
B26468,1,1,0,0,0,0,0
B26469,1,1,0,0,0,0,0
B26470,1,1,0,0,0,0,0
B26471,1,1,0,0,0,0,0
B26472,1,1,0,0,0,0,0
B26473,1,1,0,0,0,0,0
B26474,1,1,0,0,0,0,0
B26475,1,1,0,0,0,0,0
B26476,1,1,0,0,0,0,0
B26477,1,1,0,0,0,0,0
B26478,0,0,0,0,0,0,0
B26479,1,1,0,0,0,0,0
B26480,1,1,0,0,0,0,0
B26481,1,1,0,0,0,0,0
B26482,1,1,0,0,0,0,0
B26483,1,1,0,0,0,0,0
B26484,1,1,0,0,0,0,0
B26485,1,1,0,0,0,0,0
B26486,1,0,0,0,0,0,0
B26487,1,1,0,0,0,0,0
B26488,0,1,0,0,0,0,0
B26489,0,0,0,0,0,0,0
B26490,1,1,0,0,0,0,0
B26491,1,1,0,0,0,0,0
B26492,1,1,0,0,0,0,0
B26493,1,1,0,0,0,0,0
B26494,1,1,0,0,0,0,0
B26495,1,1,0,0,0,0,0
B26496,1,1,0,0,0,0,0
B26497,1,1,0,0,0,0,0
B26498,1,1,0,0,0,0,0
B26499,Proxy,1,0,0,0,0,0
B26500,1,1,0,0,0,0,0
B26501,1,1,0,0,0,0,0
B26502,1,1,0,0,0,0,0
B26503,1,1,0,0,0,0,0
B26504,1,1,0,0,0,0,0
B26505,1,1,0,0,0,0,0
B26506,1,1,0,0,0,0,0
B26507,0,0,0,0,0,0,0
B26508,1,1,0,0,0,0,0
B26509,0,1,0,0,0,0,0
B26510,1,1,0,0,0,0,0
B26511,1,1,0,0,0,0,0
B26512,0,0,0,0,0,0,0
B26513,1,1,0,0,0,0,0
B26514,1,1,0,0,0,0,0
B26515,1,1,0,0,0,0,0
B26516,1,1,0,0,0,0,0
B26517,1,1,0,0,0,0,0
B26518,1,0,0,0,0,0,0
B26519,1,1,0,0,0,0,0
B26520,1,1,0,0,0,0,0
B26521,1,1,0,0,0,0,0
B26522,1,1,0,0,0,0,0
B26523,1,1,0,0,0,0,0
B26524,1,1,0,0,0,0,0
B26525,1,1,0,0,0,0,0
B26526,1,1,0,0,0,0,0
B26527,1,1,0,0,0,0,0
B26528,1,1,0,0,0,0,0
B26529,1,1,0,0,0,0,0
B26530,0,0,0,0,0,0,0
B26531,1,1,0,0,0,0,0
B26532,1,1,0,0,0,0,0
B26533,1,1,0,0,0,0,0
B26534,0,0,0,0,0,0,0
B26535,1,1,0,0,0,0,0
B26536,1,1,0,0,0,0,0
B26537,1,1,0,0,0,0,0
B26538,1,1,0,0,0,0,0
B26539,0,1,0,0,0,0,0
B26540,1,1,0,0,0,0,0
B26541,1,1,0,0,0,0,0
B26542,1,1,0,0,0,0,0
B26543,1,1,0,0,0,0,0
