Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26408,0,0,0,0,0,0,0
B26409,0,0,0,0,0,0,0
B26410,0,0,0,0,0,0,0
B26411,0,0,0,0,0,0,0
B26412,0,0,0,0,0,0,0
B26413,0,0,0,0,0,0,0
B26414,0,0,0,0,0,0,0
B26415,0,0,0,0,0,0,0
B26416,0,0,0,0,0,0,0
B26417,0,0,0,0,0,0,0
B26418,0,0,0,0,0,0,0
B26419,0,0,0,0,0,0,0
B26420,0,0,0,0,0,0,0
B26421,0,0,0,0,0,0,0
B26422,0,0,0,0,0,0,0
B26423,0,0,0,0,0,0,0
B26424,0,0,0,0,0,0,0
B26425,0,0,0,0,0,0,0
B26426,0,0,0,0,0,0,0
B26427,0,0,0,0,0,0,0
B26428,0,0,0,0,0,0,0
B26429,0,0,0,0,0,0,0
B26430,0,0,0,0,0,0,0
B26431,0,0,0,0,0,0,0
B26432,0,0,0,0,0,0,0
B26433,0,0,0,0,0,0,0
B26434,0,0,0,0,0,0,0
B26435,0,0,0,0,0,0,0
B26436,0,0,0,0,0,0,0
B26437,0,0,0,0,0,0,0
B26438,0,0,0,0,0,0,0
B26439,0,0,0,0,0,0,0
B26440,0,0,0,0,0,0,0
B26441,0,0,0,0,0,0,0
B26442,0,0,0,0,0,0,0
B26443,0,0,0,0,0,0,0
B26444,0,0,0,0,0,0,0
B26445,0,0,0,0,0,0,0
B26446,0,0,0,0,0,0,0
B26447,0,0,0,0,0,0,0
B26448,0,0,0,0,0,0,0
B26449,0,0,0,0,0,0,0
B26450,0,0,0,0,0,0,0
B26451,0,0,0,0,0,0,0
B26452,0,0,0,0,0,0,0
B26453,0,0,0,0,0,0,0
B26454,0,0,0,0,0,0,0
B26455,0,0,0,0,0,0,0
B26456,0,0,0,0,0,0,0
B26457,0,0,0,0,0,0,0
B26458,0,0,0,0,0,0,0
B26459,0,0,0,0,0,0,0
B26460,0,0,0,0,0,0,0
B26461,0,0,0,0,0,0,0
B26462,0,0,0,0,0,0,0
B26463,0,0,0,0,0,0,0
B26464,0,0,0,0,0,0,0
B26465,0,0,0,0,0,0,0
B26466,0,0,0,0,0,0,0
B26467,0,0,0,0,0,0,0
B26468,0,0,0,0,0,0,0
B26469,0,0,0,0,0,0,0
B26470,0,0,0,0,0,0,0
B26471,0,0,0,0,0,0,0
B26472,0,0,0,0,0,0,0
B26473,0,0,0,0,0,0,0
B26474,0,0,0,0,0,0,0
B26475,0,0,0,0,0,0,0
B26476,0,0,0,0,0,0,0
B26477,0,0,0,0,0,0,0
B26478,0,0,0,0,0,0,0
B26479,0,0,0,0,0,0,0
B26480,0,0,0,0,0,0,0
B26481,0,0,0,0,0,0,0
B26482,0,0,0,0,0,0,0
B26483,0,0,0,0,0,0,0
B26484,0,0,0,0,0,0,0
B26485,0,0,0,0,0,0,0
B26486,0,0,0,0,0,0,0
B26487,0,0,0,0,0,0,0
B26488,0,0,0,0,0,0,0
B26489,0,0,0,0,0,0,0
B26490,0,0,0,0,0,0,0
B26491,0,0,0,0,0,0,0
B26492,0,0,0,0,0,0,0
B26493,0,0,0,0,0,0,0
B26494,0,0,0,0,0,0,0
B26495,0,0,0,0,0,0,0
B26496,0,0,0,0,0,0,0
B26497,0,0,0,0,0,0,0
B26498,0,0,0,0,0,0,0
B26499,0,0,0,0,0,0,0
B26500,0,0,0,0,0,0,0
B26501,0,0,0,0,0,0,0
B26502,0,0,0,0,0,0,0
B26503,0,0,0,0,0,0,0
B26504,0,0,0,0,0,0,0
B26505,0,0,0,0,0,0,0
B26506,0,0,0,0,0,0,0
B26507,0,0,0,0,0,0,0
B26508,0,0,0,0,0,0,0
B26509,0,0,0,0,0,0,0
B26510,0,0,0,0,0,0,0
B26511,0,0,0,0,0,0,0
B26512,0,0,0,0,0,0,0
B26513,0,0,0,0,0,0,0
B26514,0,0,0,0,0,0,0
B26515,0,0,0,0,0,0,0
B26516,0,0,0,0,0,0,0
B26517,0,0,0,0,0,0,0
B26518,0,0,0,0,0,0,0
B26519,0,0,0,0,0,0,0
B26520,0,0,0,0,0,0,0
B26521,0,0,0,0,0,0,0
B26522,0,0,0,0,0,0,0
B26523,0,0,0,0,0,0,0
B26524,0,0,0,0,0,0,0
B26525,0,0,0,0,0,0,0
B26526,0,0,0,0,0,0,0
B26527,0,0,0,0,0,0,0
B26528,0,0,0,0,0,0,0
B26529,0,0,0,0,0,0,0
B26530,0,0,0,0,0,0,0
B26531,0,0,0,0,0,0,0
B26532,0,0,0,0,0,0,0
B26533,0,0,0,0,0,0,0
B26534,0,0,0,0,0,0,0
B26535,0,0,0,0,0,0,0
B26536,0,0,0,0,0,0,0
B26537,0,0,0,0,0,0,0
B26538,0,0,0,0,0,0,0
B26539,0,0,0,0,0,0,0
B26540,0,0,0,0,0,0,0
B26541,0,0,0,0,0,0,0
B26542,0,0,0,0,0,0,0
B26543,0,0,0,0,0,0,0
B26544,0,0,0,0,0,0,0
B26545,0,0,0,0,0,0,0
B26546,0,0,0,0,0,0,0
B26547,0,0,0,0,0,0,0
B26548,0,0,0,0,0,0,0
B26549,0,0,0,0,0,0,0
B26550,0,0,0,0,0,0,0
B26551,0,0,0,0,0,0,0
B26552,0,0,0,0,0,0,0
B26553,0,0,0,0,0,0,0
B26554,0,0,0,0,0,0,0
B26555,0,0,0,0,0,0,0
B26556,0,0,0,0,0,0,0
B26557,0,0,0,0,0,0,0
B26558,0,0,0,0,0,0,0
B26559,0,0,0,0,0,0,0
B26560,0,0,0,0,0,0,0
B26561,0,0,0,0,0,0,0
B26562,0,0,0,0,0,0,0
B26563,0,0,0,0,0,0,0
B26564,0,0,0,0,0,0,0
B26565,0,0,0,0,0,0,0
B26566,0,0,0,0,0,0,0
B26567,0,0,0,0,0,0,0
B26568,0,0,0,0,0,0,0
B26569,0,0,0,0,0,0,0
B26570,0,0,0,0,0,0,0
B26571,0,0,0,0,0,0,0
B26572,0,0,0,0,0,0,0
B26573,0,0,0,0,0,0,0
B26574,0,0,0,0,0,0,0
B26575,0,0,0,0,0,0,0
B26576,0,0,0,0,0,0,0
B26577,0,0,0,0,0,0,0
B26578,0,0,0,0,0,0,0
B26579,0,0,0,0,0,0,0
B26580,0,0,0,0,0,0,0
B26581,0,0,0,0,0,0,0
B26582,0,0,0,0,0,0,0
B26583,0,0,0,0,0,0,0
B26584,0,0,0,0,0,0,0
B26585,0,0,0,0,0,0,0
B26586,0,0,0,0,0,0,0
B26587,0,0,0,0,0,0,0
B26588,0,0,0,0,0,0,0
